plot,crop varieties,planting density,value planting density,sowing date
1,Caribu (Asgrow),"100,000",seeds ha-1,11/3/2017
2,Armadillo - Asgrow,"100,000",seeds ha-1,11/11/2017
3,Caribu (Asgrow),"100,000",seeds ha-1,11/20/2017
4,Caribu (Asgrow),"107,500",seeds ha-1,10/30/2017
6,Caribu (Asgrow),"106,550",seeds ha-1,11/13/2017
7,CIRNO C2008,190,kg ha-1,11/29/2017
8,CIRNO C2008,180,kg ha-1,12/17/2017
9,CIRNO C2008,180,kg ha-1,12/1/2017
10,CIRNO C2008,200,kg ha-1,12/6/2017
11,CIRNO C2008,160,kg ha-1,11/29/2017
