,crop,plot,trt,date_sensed,value,min,max,mean,count,crop varieties,planting density,value planting density,sowing date,days after sowing
0,Wheat,10,N-Rich strip,2018-01-02,ndvi,0.4479982852935791,0.6436463594436646,0.5501210062127364,76,CIRNO C2008,200,kg ha-1,2017-12-06,27
1,Wheat,10,Farmer Practice N,2018-01-02,ndvi,0.3918752670288086,0.7962697744369507,0.5462136008522728,880,CIRNO C2008,200,kg ha-1,2017-12-06,27
2,Wheat,10,Farmer Practice S,2018-01-02,ndvi,0.44670048356056213,0.7529361844062805,0.5827631699411493,608,CIRNO C2008,200,kg ha-1,2017-12-06,27
3,Wheat,10,N-Rich strip,2018-01-12,ndvi,0.6918198466300964,0.8292585015296936,0.7835693861308851,76,CIRNO C2008,200,kg ha-1,2017-12-06,37
4,Wheat,10,Farmer Practice N,2018-01-12,ndvi,0.6925008296966553,0.8897302150726318,0.7895387129350142,880,CIRNO C2008,200,kg ha-1,2017-12-06,37
5,Wheat,10,Farmer Practice S,2018-01-12,ndvi,0.7133676409721375,0.8682634830474854,0.8034456152664987,608,CIRNO C2008,200,kg ha-1,2017-12-06,37
6,Wheat,10,N-Rich strip,2018-01-22,ndvi,0.7881636619567871,0.9035201668739319,0.8825772937975431,76,CIRNO C2008,200,kg ha-1,2017-12-06,47
7,Wheat,10,Farmer Practice N,2018-01-22,ndvi,0.7738707661628723,0.9165977239608765,0.8854986017400568,880,CIRNO C2008,200,kg ha-1,2017-12-06,47
8,Wheat,10,Farmer Practice S,2018-01-22,ndvi,0.824080228805542,0.9158363938331604,0.8898378673352694,608,CIRNO C2008,200,kg ha-1,2017-12-06,47
9,Wheat,10,N-Rich strip,2018-02-11,ndvi,0.8485201597213745,0.9511404037475586,0.9381894563373766,76,CIRNO C2008,200,kg ha-1,2017-12-06,67
10,Wheat,10,Farmer Practice N,2018-02-11,ndvi,0.7567639946937561,0.9496741890907288,0.9347803289240056,880,CIRNO C2008,200,kg ha-1,2017-12-06,67
11,Wheat,10,Farmer Practice S,2018-02-11,ndvi,0.87176913022995,0.9510440230369568,0.93914794921875,608,CIRNO C2008,200,kg ha-1,2017-12-06,67
12,Wheat,10,N-Rich strip,2018-02-21,ndvi,0.8736212849617004,0.9485021829605103,0.9392532549406353,76,CIRNO C2008,200,kg ha-1,2017-12-06,77
13,Wheat,10,Farmer Practice N,2018-02-21,ndvi,0.7897766828536987,0.9488733410835266,0.9369825883345171,880,CIRNO C2008,200,kg ha-1,2017-12-06,77
14,Wheat,10,Farmer Practice S,2018-02-21,ndvi,0.8890469074249268,0.9478061199188232,0.9398080926192435,608,CIRNO C2008,200,kg ha-1,2017-12-06,77
15,Wheat,11,N-Rich strip,2018-01-02,ndvi,0.41908130049705505,0.8362475037574768,0.6322214654151429,94,CIRNO C2008,160,kg ha-1,2017-11-29,34
16,Wheat,11,Farmer Practice E,2018-01-02,ndvi,0.4266038239002228,0.8308093547821045,0.6178864188816237,184,CIRNO C2008,160,kg ha-1,2017-11-29,34
17,Wheat,11,Farmer Practice W,2018-01-02,ndvi,0.36867761611938477,0.8328781723976135,0.6125382801030306,149,CIRNO C2008,160,kg ha-1,2017-11-29,34
18,Wheat,11,N-Rich strip,2018-01-12,ndvi,0.6327704191207886,0.8535681366920471,0.7599786799004737,94,CIRNO C2008,160,kg ha-1,2017-11-29,44
19,Wheat,11,Farmer Practice E,2018-01-12,ndvi,0.6131147742271423,0.8592828512191772,0.7482749275539232,184,CIRNO C2008,160,kg ha-1,2017-11-29,44
20,Wheat,11,Farmer Practice W,2018-01-12,ndvi,0.49073782563209534,0.8562397956848145,0.7254006302596738,149,CIRNO C2008,160,kg ha-1,2017-11-29,44
21,Wheat,11,N-Rich strip,2018-01-22,ndvi,0.7310566306114197,0.9132867455482483,0.8448966817652925,94,CIRNO C2008,160,kg ha-1,2017-11-29,54
22,Wheat,11,Farmer Practice E,2018-01-22,ndvi,0.7230264544487,0.9091513156890869,0.8374755693518597,184,CIRNO C2008,160,kg ha-1,2017-11-29,54
23,Wheat,11,Farmer Practice W,2018-01-22,ndvi,0.5495695471763611,0.909809410572052,0.802431349786336,149,CIRNO C2008,160,kg ha-1,2017-11-29,54
24,Wheat,11,N-Rich strip,2018-02-11,ndvi,0.8531943559646606,0.9378472566604614,0.9224458248057263,94,CIRNO C2008,160,kg ha-1,2017-11-29,74
25,Wheat,11,Farmer Practice E,2018-02-11,ndvi,0.8481965065002441,0.9399573802947998,0.9254672838293988,184,CIRNO C2008,160,kg ha-1,2017-11-29,74
26,Wheat,11,Farmer Practice W,2018-02-11,ndvi,0.695685863494873,0.9347867369651794,0.8614577735030411,149,CIRNO C2008,160,kg ha-1,2017-11-29,74
27,Wheat,11,N-Rich strip,2018-02-21,ndvi,0.8531943559646606,0.9378472566604614,0.9224458248057263,94,CIRNO C2008,160,kg ha-1,2017-11-29,84
28,Wheat,11,Farmer Practice E,2018-02-21,ndvi,0.8481965065002441,0.9399573802947998,0.9254672838293988,184,CIRNO C2008,160,kg ha-1,2017-11-29,84
29,Wheat,11,Farmer Practice W,2018-02-21,ndvi,0.695685863494873,0.9347867369651794,0.8614577735030411,149,CIRNO C2008,160,kg ha-1,2017-11-29,84
30,Maize,1,N-Rich strip,2018-01-02,ndvi,0.8749715685844421,0.94017094373703,0.9260489422342052,46,Caribu (Asgrow),"100,000",seeds ha-1,2017-11-03,60
31,Maize,1,Farmer Practice E,2018-01-02,ndvi,0.8628933429718018,0.943698525428772,0.9264720234893946,414,Caribu (Asgrow),"100,000",seeds ha-1,2017-11-03,60
32,Maize,1,Farmer Practice W,2018-01-02,ndvi,0.8200305104255676,0.9400171637535095,0.9208263984093299,416,Caribu (Asgrow),"100,000",seeds ha-1,2017-11-03,60
33,Maize,1,N-Rich strip,2018-01-12,ndvi,0.940838098526001,0.9692798256874084,0.9597169627314028,46,Caribu (Asgrow),"100,000",seeds ha-1,2017-11-03,70
34,Maize,1,Farmer Practice E,2018-01-12,ndvi,0.9357175230979919,0.9699511528015137,0.9585210090674064,414,Caribu (Asgrow),"100,000",seeds ha-1,2017-11-03,70
35,Maize,1,Farmer Practice W,2018-01-12,ndvi,0.8862690925598145,0.9727326035499573,0.9571888263408954,416,Caribu (Asgrow),"100,000",seeds ha-1,2017-11-03,70
36,Maize,1,N-Rich strip,2018-01-22,ndvi,0.9034369587898254,0.9335989356040955,0.9266132686449133,46,Caribu (Asgrow),"100,000",seeds ha-1,2017-11-03,80
37,Maize,1,Farmer Practice E,2018-01-22,ndvi,0.904010534286499,0.9363457560539246,0.9262612752868358,414,Caribu (Asgrow),"100,000",seeds ha-1,2017-11-03,80
38,Maize,1,Farmer Practice W,2018-01-22,ndvi,0.8787480592727661,0.9347227811813354,0.9257485316349909,416,Caribu (Asgrow),"100,000",seeds ha-1,2017-11-03,80
39,Maize,1,N-Rich strip,2018-02-11,ndvi,0.8845194578170776,0.9118863344192505,0.9042774698008662,46,Caribu (Asgrow),"100,000",seeds ha-1,2017-11-03,100
40,Maize,1,Farmer Practice E,2018-02-11,ndvi,0.8787521719932556,0.9214414954185486,0.9058451629491244,414,Caribu (Asgrow),"100,000",seeds ha-1,2017-11-03,100
41,Maize,1,Farmer Practice W,2018-02-11,ndvi,0.8659794330596924,0.9166369438171387,0.9033046135535607,416,Caribu (Asgrow),"100,000",seeds ha-1,2017-11-03,100
42,Maize,1,N-Rich strip,2018-02-21,ndvi,0.8742952942848206,0.9058396220207214,0.8972520413606063,46,Caribu (Asgrow),"100,000",seeds ha-1,2017-11-03,110
43,Maize,1,Farmer Practice E,2018-02-21,ndvi,0.8680832386016846,0.9098878502845764,0.8990634789213466,414,Caribu (Asgrow),"100,000",seeds ha-1,2017-11-03,110
44,Maize,1,Farmer Practice W,2018-02-21,ndvi,0.8633654117584229,0.9091274738311768,0.8971616304837741,416,Caribu (Asgrow),"100,000",seeds ha-1,2017-11-03,110
45,Maize,2,N-Rich strip,2018-01-02,ndvi,0.8234518766403198,0.8740252256393433,0.8495065477159288,45,Armadillo - Asgrow,"100,000",seeds ha-1,2017-11-11,52
46,Maize,2,Farmer Practice E,2018-01-02,ndvi,0.626204252243042,0.9144230484962463,0.8104496306085989,4268,Armadillo - Asgrow,"100,000",seeds ha-1,2017-11-11,52
47,Maize,2,Farmer Practice W,2018-01-02,ndvi,0.6096866130828857,0.8953545093536377,0.8277750701525667,806,Armadillo - Asgrow,"100,000",seeds ha-1,2017-11-11,52
48,Maize,2,N-Rich strip,2018-01-12,ndvi,0.9097492694854736,0.9388960003852844,0.9302357991536458,45,Armadillo - Asgrow,"100,000",seeds ha-1,2017-11-11,62
49,Maize,2,Farmer Practice E,2018-01-12,ndvi,0.7552639245986938,0.9596739411354065,0.9056310108474402,4268,Armadillo - Asgrow,"100,000",seeds ha-1,2017-11-11,62
50,Maize,2,Farmer Practice W,2018-01-12,ndvi,0.73089599609375,0.9473130106925964,0.9086562693858561,806,Armadillo - Asgrow,"100,000",seeds ha-1,2017-11-11,62
51,Maize,2,N-Rich strip,2018-01-22,ndvi,0.8803757429122925,0.9102533459663391,0.8970942179361979,45,Armadillo - Asgrow,"100,000",seeds ha-1,2017-11-11,72
52,Maize,2,Farmer Practice E,2018-01-22,ndvi,0.8237472772598267,0.9498897790908813,0.9152860060515757,4268,Armadillo - Asgrow,"100,000",seeds ha-1,2017-11-11,72
53,Maize,2,Farmer Practice W,2018-01-22,ndvi,0.7750000357627869,0.9379282593727112,0.8999060543240152,806,Armadillo - Asgrow,"100,000",seeds ha-1,2017-11-11,72
